0,nb_9011
1,nb_15344
2,nb_42123
3,nb_77977
4,nb_99260
5,nb_166504
6,nb_199873
7,nb_277441
8,nb_321575
9,nb_365310
10,nb_433196
11,nb_472733
12,nb_514847
13,nb_521606
14,nb_544493
15,nb_620094
16,nb_678685
17,nb_688522
18,nb_702831
19,nb_703786
20,nb_776658
21,nb_822946
22,nb_879325
23,nb_947215
24,nb_973980
25,nb_984871
26,nb_1053122
27,nb_1098057
28,nb_1133610
29,nb_1161176
1890,nb_176916
1891,nb_776019
1892,nb_997267
1893,nb_1257476
1898,nb_261422
1899,nb_1238494
1907,nb_1137964
1909,nb_837440
1915,nb_804472
1917,nb_229763
1918,nb_248600
1919,nb_723308
1920,nb_828146
1921,nb_864166
1922,nb_969224
1923,nb_1070328
1924,nb_1149619
2381,nb_541447
2382,nb_1032450
2383,nb_1032451
2384,nb_1175344
2385,nb_673923
2392,nb_62140
2393,nb_396033
2394,nb_478814
2395,nb_972293
2396,nb_204037
2397,nb_210423
2398,nb_340591
2399,nb_358037
2400,nb_367701
2406,nb_102022
2407,nb_550581
2408,nb_743524
2409,nb_1043661
2442,nb_453553
2443,nb_453554
2444,nb_453555
2445,nb_453556
2446,nb_453557
2447,nb_453601
2448,nb_705427
2449,nb_708925
2450,nb_884318
2451,nb_997778
2452,nb_1012093
2453,nb_1020620
2454,nb_1080014
2468,nb_601643
2469,nb_850476
2470,nb_905906
2474,nb_254716
2476,nb_818068
2477,nb_147833
2478,nb_348264
2479,nb_564954
2480,nb_1009630
2481,nb_1177591
2507,nb_176587
2508,nb_475573
2509,nb_847317
2510,nb_898333
2511,nb_1004479
2512,nb_1257197
2513,nb_176698
2514,nb_475656
2515,nb_847418
2516,nb_898455
2517,nb_1004530
2518,nb_1257309
2525,nb_167078
2527,nb_142366
2528,nb_142740
2529,nb_1007152
2530,nb_1009369
2531,nb_219222
2532,nb_13893
2533,nb_98967
2534,nb_395612
2535,nb_733653
2540,nb_328471
2541,nb_1143908
2544,nb_63178
2545,nb_163814
2546,nb_163815
2547,nb_217707
2548,nb_263867
2549,nb_379241
2550,nb_379242
2551,nb_402810
2552,nb_611004
2553,nb_726068
2554,nb_849235
2555,nb_849351
2556,nb_869539
2557,nb_939206
2558,nb_1093133
2559,nb_340475
2560,nb_693444
2571,nb_16315
2572,nb_445484
2573,nb_452020
2574,nb_659288
2575,nb_769682
2576,nb_1113715
2577,nb_1170188
2592,nb_842290
2593,nb_1037047
2594,nb_1195128
2595,nb_1219395
3116,nb_203584
3117,nb_399026
3118,nb_996809
3119,nb_1007259
3120,nb_13172
3121,nb_77481
3122,nb_87523
3123,nb_117729
3124,nb_174560
3125,nb_203237
3126,nb_248254
3127,nb_297255
3128,nb_322216
3129,nb_373286
3130,nb_386597
3131,nb_393914
3132,nb_427177
3133,nb_480858
3134,nb_521540
